country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
Ghana,Ashanti,Adansi North,75,61269,4520,2921,2041,23,80,24,13,37,12,46,14,39,20,60,18,13,40,5,17,6,8,11,31,16,21,31
Ghana,Ashanti,Adansi South,75,140792,8051,8276,3296,122,129,47,39,111,22,88,44,64,48,86,29,10,12,1,24,6,54,34,94,69,94,86
Ghana,Ashanti,Afigya Sekyere,75,66797,454,193,1516,100,122,86,10,28,9,7,15,27,8,35,3,1,0,0,0,0,0,0,0,0,0,0
Ghana,Ashanti,Ahafo Ano North,75,72965,141,59,1538,39,8,4,2,8,28,7,18,2,2,16,1,1,0,0,0,0,0,0,0,1,0,1
Ghana,Ashanti,Ahafo Ano South,75,120724,3548,5870,3563,148,313,148,19,93,47,80,113,121,36,191,34,33,44,10,197,96,91,7,139,35,52,24
Ghana,Ashanti,Amansie Central,75,118095,2884,2441,6723,46,133,26,23,19,13,31,8,48,26,45,7,10,16,2,7,7,20,15,28,21,61,186
Ghana,Ashanti,Amansie East,75,74605,5541,5023,2317,79,74,82,20,84,10,82,36,29,38,52,31,50,34,29,129,112,45,24,218,124,110,73
Ghana,Ashanti,Amansie West,75,126760,4345,6044,4314,95,250,102,44,113,36,74,69,112,52,93,34,69,71,9,146,67,74,50,99,185,227,191
Ghana,Ashanti,Asante Akim North,75,141767,1252,3415,3702,34,80,94,15,28,5,15,30,14,51,42,11,11,11,5,44,22,12,5,12,5,12,25
Ghana,Ashanti,Asante Akim South,75,107531,6525,7566,1907,202,344,301,32,182,31,103,160,82,124,110,65,55,22,11,111,48,46,8,71,73,60,62
Ghana,Ashanti,Atwima,75,75980,582,246,2548,41,159,58,10,44,12,49,28,31,13,71,13,17,6,0,3,1,1,0,1,0,0,0
Ghana,Ashanti,Atwima Mponua,75,176924,10680,15308,3189,129,161,76,30,76,147,57,55,92,32,159,57,76,87,16,299,134,190,60,228,134,290,174
Ghana,Ashanti,Bosomtwe-Kwanwoma,75,67141,395,213,2910,20,67,87,8,30,7,25,11,27,22,27,3,1,1,0,0,1,0,0,0,0,0,0
Ghana,Ashanti,Ejisu-Juabeng,75,61226,543,2647,3339,12,38,74,8,18,4,15,15,12,13,25,4,2,0,0,0,0,0,0,0,0,0,0
Ghana,Ashanti,Ejura Sekyedumase,75,130424,87,136,541,12,10,1,1,5,13,11,5,8,6,9,2,1,0,0,0,0,0,0,0,0,0,0
Ghana,Ashanti,Kumasi,75,27510,12,29,249,0,2,2,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,Ashanti,Kwabre,75,29111,103,19,748,2,40,7,4,8,4,5,3,12,5,9,1,2,0,0,0,0,0,0,0,0,0,0
Ghana,Ashanti,Obuasi Municipal,75,44090,3055,2138,495,20,39,15,8,18,9,15,17,16,11,26,9,4,8,0,2,0,5,3,12,4,28,17
Ghana,Ashanti,Offinso,75,158265,656,896,3530,65,77,48,12,48,18,49,61,70,28,87,14,4,6,0,4,1,4,1,16,14,4,3
