Region,District,Capital,Constituency
Contents,Asunafo North Municipal,Goaso,Asunafo North
Contents,Asunafo South,Kukuom,Asunafo South
Contents,Asutifi North,Kenyasi,Asutifi North
Contents,Asutifi South,Hwidiem,Asutifi South
Contents,Tano North Municipal,Duayaw Nkwanta,Tano North
Contents,Tano South Municipal,Bechem,Tano South
History,Asunafo North Municipal,Goaso,Asunafo North
History,Asunafo South,Kukuom,Asunafo South
History,Asutifi North,Kenyasi,Asutifi North
History,Asutifi South,Hwidiem,Asutifi South
History,Tano North Municipal,Duayaw Nkwanta,Tano North
History,Tano South Municipal,Bechem,Tano South
Ahafo Region,Asunafo North Municipal,Goaso,Asunafo North
Ahafo Region,Asunafo South,Kukuom,Asunafo South
Ahafo Region,Asutifi North,Kenyasi,Asutifi North
Ahafo Region,Asutifi South,Hwidiem,Asutifi South
Ahafo Region,Tano North Municipal,Duayaw Nkwanta,Tano North
Ahafo Region,Tano South Municipal,Bechem,Tano South
Ashanti Region,Adansi Asokwa,Adansi Asokwa,Adansi-Asokwa
Ashanti Region,Adansi North,Fomena,Fomena
Ashanti Region,Adansi South,New Edubiase,New Edubease
Ashanti Region,Afigya Kwabre North,Boamang,Afigya Kwabre North
Ashanti Region,Afigya Kwabre South,Kodie,Afigya Kwabre South
Ashanti Region,Ahafo Ano North Municipal,Tepa,Ahafo Ano North
Ashanti Region,Ahafo Ano South East,Dwinyame / Adugyama,Ahafo Ano South East
Ashanti Region,Ahafo Ano South West,Mankranso,Ahafo Ano South West
Ashanti Region,Akrofuom,Akrofuom,Akrofuom
Ashanti Region,Amansie Central,Jacobu,Odotobri
Ashanti Region,Amansie West,Manso Nkwanta,Manso Nkwanta
Ashanti Region,Amansie South,Manso Adubia,Manso Edubia
Ashanti Region,Asante Akim Central Municipal,Konongo,Asante Akim Central
Ashanti Region,Asante Akim North,Agogo,Asante Akim North
Ashanti Region,Asante Akim South Municipal,Juaso,Asante Akim South
Ashanti Region,Asokore Mampong,Asokore Mampong,Asawase
Ashanti Region,Asokwa Municipal,Asokwa,Asokwa
Ashanti Region,Atwima Kwanwoma,Twedie,Atwima-Kwanwoma
